ma_buucuc,ma_cn,ma_quanhuyen,ten_quanhuyen
PHT,BTN,8010,THÀNH PHỐ PHAN THIẾT
OSBGG,BGG,2310,THÀNH PHỐ BẮC GIANG
OSGLI,GLI,6010,THÀNH PHỐ PLEIKU
CH0299,HTH,,
GRI,BLU,9626,THỊ XÃ GIÁ RAI
CSE,GLI,6047,HUYỆN CHƯ SÊ
KVMB03,FFM,,
HBTNPL,TNN,2538,HUYỆN PHÚ LƯƠNG
HNI029,HNI,,
PDN,HNI,1280,QUẬN BẮC TỪ LIÊM
PMKT,CNTCT,,
CH0147,LCI,,
CH0144,HBH,,
OSTQG,TQG,3010,THÀNH PHỐ TUYÊN QUANG
CH0620,TGG,,
KVMB06,FFM,,
HBBKPN,BKN,2643,HUYỆN PẮC NẶM
KVMB05,FFM,,
TKTY,DNG,5557,QUẬN LIÊN CHIỂU
HBLDLH,LDG,6728,HUYỆN LÂM HÀ
CGG,HCM,7100,QUẬN 1
CH0133,HBH,3522,HUYỆN ĐÀ BẮC
CH0003,BGG,,
CH0311,NAN,4610,THÀNH PHỐ VINH
CH0393,KTM,,
DSKV3,LOG,7290,QUẬN 12
HBKHCR,KHA,6544,THÀNH PHỐ CAM RANH
HBDTLV,DTP,8728,HUYỆN LAI VUNG
HNIHKM,HNI,1100,QUẬN HOÀN KIẾM
CLI,HCM,7130,QUẬN 2
BCGG,LCI,3316,HUYỆN SI MA CAI
ADG,HPG,1848,HUYỆN AN DƯƠNG
HBDNCM,DNI,8161,HUYỆN CẨM MỸ
ABC,HCM,7360,QUẬN TÂN BÌNH
HBQN10,HCM,7400,QUẬN 10
CH0653,AGG,8810,THÀNH PHỐ LONG XUYÊN
CH0583,DKG,,
CH0648,VTU,,
HBKTPP,KTM,5810,THÀNH PHỐ KON TUM
CUPH,GLI,6067,HUYỆN CHƯ PƯH
HBNDHH,NDH,4282,HUYỆN HẢI HẬU
LCT,HBH,3558,HUYỆN LẠC THỦY
BLI,HCM,7170,QUẬN BÌNH THẠNH
CH0098,HCM,,
TCB,HNI,1180,QUẬN BA ĐÌNH
LOGMT,LOG,,
CH0489,DLK,,
CH0425,QNM,5651,HUYỆN PHƯỚC SƠN
CH0747,STG,,
CH0636,TNH,8417,HUYỆN DƯƠNG MINH CHÂU
LEC,HPG,1836,QUẬN LÊ CHÂN
HBHYVL,HYN,1635,HUYỆN VĂN LÂM
HBDNHC,DNG,5510,QUẬN HẢI CHÂU
HBQU11,HCM,7430,QUẬN 11
QU8,HCM,7510,QUẬN 8
KVPVH,FFM,,
KVMN03,FFM,,
CH0449,QTI,,
CH0447,QTI,,
HBBDBU,BDG,8247,HUYỆN BẮC TÂN UYÊN
CH0117,HCM,7600,QUẬN TÂN PHÚ
HBLABL,LAN,8523,HUYỆN BẾN LỨC
D00425,HCM,,
HBHNMD,HNI,1576,HUYỆN MỸ ĐỨC
PTKSP,CNTCT,1220,QUẬN CẦU GIẤY
YVN,HNI,1310,HUYỆN GIA LÂM
APA,GLI,6053,THỊ XÃ AYUN PA
DDI,CMU,9730,HUYỆN ĐẦM DƠI
CH0286,TBH,,
HBVLVL,VLG,8910,THÀNH PHỐ VĨNH LONG
CH0112,HCM,7590,HUYỆN CẦN GIỜ
LEHP,HPG,1818,QUẬN NGÔ QUYỀN
HBLATG,LAN,8553,HUYỆN TÂN HƯNG
HBTHNL,THA,4516,HUYỆN NGỌC LẶC
CNE,HNI,1280,QUẬN BẮC TỪ LIÊM
HBHCCC,HCM,7330,HUYỆN CỦ CHI
DMO,HNI,1260,QUẬN NAM TỪ LIÊM
CH0349,THA,,
TX1,HNI,1200,QUẬN THANH XUÂN
CH0178,SLA,,
BHNH,HDG,1710,THÀNH PHỐ HẢI DƯƠNG
QTT,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
HBYBTT,YBN,3259,HUYỆN TRẠM TẤU
HBHBDB,HBH,3522,HUYỆN ĐÀ BẮC
HNI031,HNI,,
HBHCQ4,HCM,7540,QUẬN 4
LGP,HNI,1557,HUYỆN QUỐC OAI
CH0437,QNM,,
CH0482,DLK,,
OSKHA,KHA,,
VKM,TGG,8634,HUYỆN CHÂU THÀNH
HBBTMN,BTE,9321,HUYỆN MỎ CÀY NAM
HBPTTN,PHO,2940,HUYỆN TAM NÔNG
GVPLQD,HCM,,
XHG,HCM,7360,QUẬN TÂN BÌNH
A98,FFM,8110,THÀNH PHỐ BIÊN HÒA
TT1HCM,HCM,7290,QUẬN 12
HBHNMK,HNI,1280,QUẬN BẮC TỪ LIÊM
CH0191,VPC,2812,HUYỆN BÌNH XUYÊN
CH0319,NAN,4662,HUYỆN YÊN THÀNH
BTEG,BTE,9310,THÀNH PHỐ BẾN TRE
TNLD,HNI,1270,QUẬN HOÀNG MAI
CH0729,KGG,,
HNA,LAN,8537,HUYỆN ĐỨC HÒA
POM,BNH,2210,THÀNH PHỐ BẮC NINH
HBPYDH,PYN,6230,HUYỆN ĐÔNG HÒA
HBHPHA,HPG,1875,QUẬN HẢI AN
TKN,HCM,7380,HUYỆN BÌNH CHÁNH
NDUG,HNI,1310,HUYỆN GIA LÂM
CH0506,GLI,6026,HUYỆN KBANG
CH0721,HUG,9118,HUYỆN PHỤNG HIỆP
BTE,BTE,9310,THÀNH PHỐ BẾN TRE
HBDNLT,DNI,8153,HUYỆN LONG THÀNH
HBBNQV,BNH,2228,HUYỆN QUẾ VÕ
COG,QNH,2032,THÀNH PHỐ CẨM PHẢ
HNI001,HNI,,
TMP,DNI,8110,THÀNH PHỐ BIÊN HÒA
CH0644,VTU,7946,HUYỆN ĐẤT ĐỎ
HBTVTV,TVH,9410,THÀNH PHỐ TRÀ VINH
SDNG,DNG,5542,QUẬN THANH KHÊ
HBHGMV,HGG,3121,HUYỆN MÈO VẠC
HHAG03,HNI,1510,QUẬN HÀ ĐÔNG
GLG,BTE,9313,HUYỆN CHÂU THÀNH
ANB,FFM,8110,THÀNH PHỐ BIÊN HÒA
MTGG,LOG,5574,QUẬN CẨM LỆ
CH0029,CBG,,
QNMAS,QNM,5610,THÀNH PHỐ TAM KỲ
HBDNXL,DNI,8139,HUYỆN XUÂN LỘC
HBAGAP,AGG,8837,HUYỆN AN PHÚ
HNI015,HNI,,
QTN,HPG,1810,QUẬN HỒNG BÀNG
TUHP,HNI,1340,HUYỆN THANH TRÌ
CH0554,BDG,,
HBLCDK,LCU,,
DHT,HCM,7290,QUẬN 12
HBTHTT,THA,4470,HUYỆN THẠCH THÀNH
HBCTVT,CTO,9050,HUYỆN VĨNH THẠNH
TTNI,HCM,7310,HUYỆN HÓC MÔN
PYN,PYN,6210,THÀNH PHỐ TUY HÒA
HBCBBM,CBG,2767,HUYỆN BẢO LÂM
HBNBYK,NBH,4345,HUYỆN YÊN KHÁNH
LOGMN,LOG,7360,QUẬN TÂN BÌNH
OSVPC,VPC,2810,THÀNH PHỐ VĨNH YÊN
CH0463,BDH,,
HBGLIG,GLI,6034,HUYỆN IA GRAI
QNINHH,QNI,5729,HUYỆN NGHĨA HÀNH
CHLDCT,LDG,6755,HUYỆN CÁT TIÊN
NBI,HNI,1390,HUYỆN SÓC SƠN
CH0379,HUE,5357,HUYỆN A LƯỚI
CH0285,TBH,,
HDG,HDG,1710,THÀNH PHỐ HẢI DƯƠNG
CH0403,QNI,5729,HUYỆN NGHĨA HÀNH
TCM,NTN,6610,THÀNH PHỐ PHAN RANG-THÁP CHÀM
HBBDHN,BDH,5932,HUYỆN HOÀI NHƠN
DSKV4,LOG,9028,QUẬN BÌNH THỦY
HBBNLT,BNH,2235,HUYỆN LƯƠNG TÀI
HBHBKB,HBH,3551,HUYỆN KIM BÔI
HBQNBM,QNM,5636,HUYỆN BẮC TRÀ MY
NTU,HCM,7620,QUẬN BÌNH TÂN
CHDNI,HNI,1510,QUẬN HÀ ĐÔNG
CHNVL,HNI,1250,QUẬN LONG BIÊN
DTDG,HNI,1150,QUẬN ĐỐNG ĐA
CH0332,NBH,,
NQNG,HPG,1818,QUẬN NGÔ QUYỀN
KVKDMB,FFM,,
CHBHNI,HCM,7380,HUYỆN BÌNH CHÁNH
CH0107,HCM,7480,QUẬN 5
HBHNTO,HNI,1567,HUYỆN THANH OAI
HBDTCL,DTP,8710,THÀNH PHỐ CAO LÃNH
KVMB08,FFM,1200,QUẬN THANH XUÂN
HUBTRH,HNI,1220,QUẬN CẦU GIẤY
CH0749,STG,,
CH0660,AGG,,
HBNATD,NAN,4733,HUYỆN TƯƠNG DƯƠNG
HN04,HNI,1340,HUYỆN THANH TRÌ
QU7,HCM,7560,QUẬN 7
BNH01,BNH,2221,THỊ XÃ TỪ SƠN
BLU01,BLU,9610,THÀNH PHỐ BẠC LIÊU
HBKGSX,KGG,9216,HUYỆN HÒN ĐẤT
MOK,QNH,2086,THỊ XÃ ĐÔNG TRIỀU
TAT,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
DVCTNB,LOG,9028,QUẬN BÌNH THỦY
SHKM,LOG,1100,QUẬN HOÀN KIẾM
HBNAYT,NAN,4662,HUYỆN YÊN THÀNH
QU2,HCM,7621,THÀNH PHỐ THỦ ĐỨC
HUBQU6,HCM,7460,QUẬN 6
HUBVTY,HNI,1120,QUẬN HAI BÀ TRƯNG
CH0046,LSN,,
CH0743,STG,,
15113,VPC,,
TNNTLG,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
HBCMNH,CMU,9734,HUYỆN NGỌC HIỂN
HBQBTH,QBH,5128,HUYỆN TUYÊN HÓA
HBNBNB,NBH,4310,THÀNH PHỐ NINH BÌNH
QGTH,QBH,5122,HUYỆN QUẢNG TRẠCH
HBBPDX,BPC,8310,THÀNH PHỐ ĐỒNG XOÀI
TTQU9,HCM,,
TKC,HNI,1120,QUẬN HAI BÀ TRƯNG
LKE,HNI,1510,QUẬN HÀ ĐÔNG
TN3,CNTCT,,
CH0131,DBN,,
CH0607,LAN,8510,THÀNH PHỐ TÂN AN
HKH,DNG,5557,QUẬN LIÊN CHIỂU
HBKHNH,KHA,6529,THỊ XÃ NINH HÒA
VHG,HNI,1270,QUẬN HOÀNG MAI
QNMQSN,QNM,5630,HUYỆN QUẾ SƠN
HCMVC,HCM,,
CH0487,DLK,6356,HUYỆN EA H'LEO
KVMN02,FFM,7100,QUẬN 1
TCU,TNH,8419,HUYỆN TÂN CHÂU
HBVPVT,VPC,2823,HUYỆN VĨNH TƯỜNG
HBNBTD,NBH,4333,THÀNH PHỐ TAM ĐIỆP
PKU,GLI,6010,THÀNH PHỐ PLEIKU
GLM,HNI,1310,HUYỆN GIA LÂM
KNQN,CNTCT,,
CH0467,BTN,,
OSBTE,BTE,9310,THÀNH PHỐ BẾN TRE
GLIVC,GLI,6010,THÀNH PHỐ PLEIKU
CH0730,KGG,,
CH0615,LAN,,
CH0126,DBN,,
86451,BTE,,
HLN,LCI,3334,THÀNH PHỐ LÀO CAI
KTDLC,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
HBNBNQ,NBH,4326,HUYỆN NHO QUAN
GDN,LAN,8523,HUYỆN BẾN LỨC
CHNDT,HNI,1270,QUẬN HOÀNG MAI
KTGLI,GLI,6010,THÀNH PHỐ PLEIKU
HBBTTL,BTN,8034,HUYỆN TÁNH LINH
TSNI,HCM,7600,QUẬN TÂN PHÚ
TKY,HCM,7310,HUYỆN HÓC MÔN
STXN,LOG,1200,QUẬN THANH XUÂN
OCD,HNI,1150,QUẬN ĐỐNG ĐA
CH0537,NTN,,
CH0288,TBH,,
OSBLU,BLU,,
HBBNTS,BNH,2221,THỊ XÃ TỪ SƠN
HTG,THA,4444,HUYỆN HÀ TRUNG
HBKGUT,KGG,9246,HUYỆN U MINH THƯỢNG
DTP,DTP,8710,THÀNH PHỐ CAO LÃNH
HBLCTG,LCU,3911,HUYỆN TAM ĐƯỜNG
CH270,HCM,7360,QUẬN TÂN BÌNH
CH0086,HCM,7250,QUẬN PHÚ NHUẬN
KKY,HNI,1310,HUYỆN GIA LÂM
BDA,CNTCT,,
BBG,BDG,8248,HUYỆN BÀU BÀNG
CH0457,BDH,5938,HUYỆN AN LÃO
CH0156,LCU,3915,HUYỆN PHONG THỔ
CH0590,DNI,8164,HUYỆN TRẢNG BOM
76206,DNI,,
HBHYKD,HYN,1622,HUYỆN KIM ĐỘNG
GLH,QTI,5214,HUYỆN GIO LINH
YBIG,YBN,3210,THÀNH PHỐ YÊN BÁI
TDE,HPG,1848,HUYỆN AN DƯƠNG
LCIKDT,LCI,3334,THÀNH PHỐ LÀO CAI
VQH,HNI,1340,HUYỆN THANH TRÌ
QGG,HNI,1510,QUẬN HÀ ĐÔNG
HBYBYB,YBN,3210,THÀNH PHỐ YÊN BÁI
YBI,YBN,3210,THÀNH PHỐ YÊN BÁI
OSBTN,BTN,8010,THÀNH PHỐ PHAN THIẾT
CH0410,QNI,5714,HUYỆN LÝ SƠN
CH0214,HDG,,
HBSTST,STG,9510,THÀNH PHỐ SÓC TRĂNG
THATSN,THA,4410,THÀNH PHỐ THANH HÓA
HBKTKP,KTM,5820,HUYỆN KON PLÔNG
TTNAN,NAN,4743,HUYỆN HƯNG NGUYÊN
HGV,HCM,7460,QUẬN 6
HBHNDD,HNI,1150,QUẬN ĐỐNG ĐA
CH0234,HPG,,
CH0427,QNM,5655,HUYỆN ĐÔNG GIANG
CH0479,DLK,,
D00330,CTO,,
THAG1,THA,4410,THÀNH PHỐ THANH HÓA
GHD,KGG,9222,HUYỆN PHÚ QUỐC
DIK,HNI,1270,QUẬN HOÀNG MAI
HBAGCM,AGG,8816,HUYỆN CHỢ MỚI
TDC,HCM,7200,QUẬN THỦ ĐỨC
HBHNCL,HNI,1150,QUẬN ĐỐNG ĐA
TTDAD,LOG,5574,QUẬN CẨM LỆ
CH0477,DLK,6327,HUYỆN KRÔNG PẮK
CH0741,STG,9520,HUYỆN KẾ SÁCH
CH0774,VLG,8917,HUYỆN TAM BÌNH
HBTHNX,THA,4551,HUYỆN NHƯ XUÂN
BMT,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
ALI,HUE,5357,HUYỆN A LƯỚI
LBH,DNI,8110,THÀNH PHỐ BIÊN HÒA
LHG,HCM,7200,QUẬN THỦ ĐỨC
CCSN,HNI,1561,HUYỆN CHƯƠNG MỸ
OSTVH,TVH,9410,THÀNH PHỐ TRÀ VINH
TNHCTH,TNH,8424,HUYỆN CHÂU THÀNH
HBTNDH,TNN,2525,HUYỆN ĐỒNG HỶ
SCGY,LOG,1220,QUẬN CẦU GIẤY
HBBTGT,BTE,9326,HUYỆN GIỒNG TRÔM
KVMB07,FFM,,
HBHNYN,HNI,1510,QUẬN HÀ ĐÔNG
CH0775,HNI,,
CH0549,PYN,6234,HUYỆN PHÚ HÒA
CH0271,QNH,2056,HUYỆN TIÊN YÊN
CH0347,THA,4534,HUYỆN THƯỜNG XUÂN
CH0163,LCU,,
HBDLCK,DLK,6380,HUYỆN CƯ KUIN
DGD,KGG,9222,HUYỆN PHÚ QUỐC
VIH,NAN,4610,THÀNH PHỐ VINH
PQG,HCM,7360,QUẬN TÂN BÌNH
YDG,BGG,2372,HUYỆN YÊN DŨNG
HGB,HNI,1150,QUẬN ĐỐNG ĐA
CH0665,AGG,8822,HUYỆN CHÂU THÀNH
BHHG,HCM,7380,HUYỆN BÌNH CHÁNH
HBKTST,KTM,5835,HUYỆN SA THẦY
BDGTHA,BDG,8223,THỊ XÃ TÂN UYÊN
KTQNM,QNM,5616,HUYỆN THĂNG BÌNH
THG,HCM,7560,QUẬN 7
NKH,HNI,1180,QUẬN BA ĐÌNH
DLH,LDG,6737,HUYỆN DI LINH
CH0420,QNM,,
CHHTC,HNI,1270,QUẬN HOÀNG MAI
TQB,HCM,7510,QUẬN 8
CNG,TVH,9435,HUYỆN CẦU NGANG
FFMKD,FFM,,
CH0146,LCI,,
CHNT,HNI,1240,QUẬN TÂY HỒ
HBTVCK,TVH,9421,HUYỆN CẦU KÈ
CH0185,SLA,,
HBTNVS,TNH,,
QU6,HCM,7460,QUẬN 6
KVKDMN,FFM,,
12007,HNI,,
TYG,HNI,1280,QUẬN BẮC TỪ LIÊM
DVCMTG,LOG,5574,QUẬN CẨM LỆ
CHLACG,LAN,8531,HUYỆN CẦN GIUỘC
CH0465,BTN,,
CH0545,PYN,,
CH0152,LCI,,
11415,HNI,,
HBHNTT,HNI,1553,HUYỆN THẠCH THẤT
HBLCBY,LCI,3353,HUYỆN BẢO YÊN
LHA,HNI,1180,QUẬN BA ĐÌNH
HBTHCT,THA,4476,HUYỆN CẨM THỦY
LMS,THA,4497,HUYỆN THỌ XUÂN
HBDKDR,DKG,6413,HUYỆN ĐẮK RLẤP
CH0141,HBH,3517,HUYỆN LƯƠNG SƠN
CH0183,SLA,3624,HUYỆN YÊN CHÂU
CH0758,TVH,,
YBN01,YBN,3210,THÀNH PHỐ YÊN BÁI
OSCMU,CMU,,
CH0588,DKG,6416,HUYỆN ĐẮK SONG
XLA,HNI,1240,QUẬN TÂY HỒ
CH0031,CBG,,
LAN,LAN,8510,THÀNH PHỐ TÂN AN
CH0067,TQG,,
CH0257,NDH,,
CH0444,QTI,,
CH0717,HUG,,
NGO,HUE,5310,THÀNH PHỐ HUẾ
DNIPTI,DNI,8153,HUYỆN LONG THÀNH
CH0035,HGG,,
HBTQYS,TQG,3010,THÀNH PHỐ TUYÊN QUANG
NDH,NDH,4210,THÀNH PHỐ NAM ĐỊNH
CH0509,GLI,6042,HUYỆN CHƯ PRÔNG
CH0256,NDH,4257,HUYỆN Ý YÊN
CH0579,BTE,,
HBQTCL,QTI,5223,HUYỆN CAM LỘ
CH0034,HGG,,
CH0635,TNH,,
GLIKPA,GLI,,
76314,DNI,,
CH0048,LSN,,
CH0456,BDH,,
HBQNQS,QNM,5630,HUYỆN QUẾ SƠN
CH0302,HTH,,
HBTHYD,THA,4462,HUYỆN YÊN ĐỊNH
ND1,FFM,1280,QUẬN BẮC TỪ LIÊM
HBHUHA,HUE,5353,THỊ XÃ HƯƠNG TRÀ
HBH,HBH,3510,THÀNH PHỐ HÒA BÌNH
HTYN,HPG,1830,HUYỆN THỦY NGUYÊN
HBLDBL,LDG,6747,THÀNH PHỐ BẢO LỘC
11918,HNI,,
XDH,HNI,1280,QUẬN BẮC TỪ LIÊM
CHCKO,THA,4564,HUYỆN TĨNH GIA
CH0204,YBN,,
CH0602,DNI,,
CH0140,HBH,,
CH0298,HTH,,
DNIBMH,DNI,8164,HUYỆN TRẢNG BOM
HBBLHD,BLU,9624,HUYỆN HỒNG DÂN
HBTHVL,THA,4467,HUYỆN VĨNH LỘC
HBNDNH,NDH,4265,HUYỆN NGHĨA HƯNG
CH0092,HCM,,
PKG,HNI,1260,QUẬN NAM TỪ LIÊM
HBBNBN,BNH,2210,THÀNH PHỐ BẮC NINH
CH0570,BPC,8339,THỊ XÃ PHƯỚC LONG
CH0435,QNM,,
CH0175,PHO,2929,HUYỆN LÂM THAO
HBDNLC,DNG,5557,QUẬN LIÊN CHIỂU
HBAGCP,AGG,8828,HUYỆN CHÂU PHÚ
HBCMDD,CMU,9730,HUYỆN ĐẦM DƠI
THAQHA,THA,4526,HUYỆN QUAN HÓA
BNH,BNH,2210,THÀNH PHỐ BẮC NINH
CH0090,HCM,7290,QUẬN 12
HNI008,HNI,1510,QUẬN HÀ ĐÔNG
DCH,HNI,1270,QUẬN HOÀNG MAI
HBDBDB,DBN,3810,THÀNH PHỐ ĐIỆN BIÊN PHỦ
COLH,BTE,9317,HUYỆN CHỢ LÁCH
CH0493,GLI,,
HBDKDS,DKG,6416,HUYỆN ĐẮK SONG
HBCBTK,CBG,2727,HUYỆN TRÙNG KHÁNH
NBH01,NBH,4310,THÀNH PHỐ NINH BÌNH
HBHMBL,HNM,4038,HUYỆN BÌNH LỤC
BTO,HCM,7510,QUẬN 8
TVH,TVH,9410,THÀNH PHỐ TRÀ VINH
HBHNCG,HNI,1220,QUẬN CẦU GIẤY
TTHDG,HDG,1710,THÀNH PHỐ HẢI DƯƠNG
HBTNDTY,TNN,,
CH0388,HUE,5310,THÀNH PHỐ HUẾ
CH0616,LAN,8531,HUYỆN CẦN GIUỘC
CH0715,HUG,9127,HUYỆN CHÂU THÀNH
SCG,TNN,2564,THÀNH PHỐ SÔNG CÔNG
THALCH,THA,4523,HUYỆN LANG CHÁNH
HBPTDH,PHO,2949,HUYỆN ĐOAN HÙNG
ANH,HUE,5310,THÀNH PHỐ HUẾ
BHMH,LDG,6710,THÀNH PHỐ ĐÀ LẠT
HNI025,HNI,1200,QUẬN THANH XUÂN
AKH,HNI,1529,HUYỆN HOÀI ĐỨC
KLN,HNI,1150,QUẬN ĐỐNG ĐA
HQV,HNI,1220,QUẬN CẦU GIẤY
VBDG,LOG,,
CH0703,DTP,,
CH0171,PHO,,
CH0240,HPG,,
CH0421,QNM,5658,HUYỆN TÂY GIANG
HBTQNH,TQG,3048,HUYỆN NA HANG
HBSTKS,STG,9520,HUYỆN KẾ SÁCH
HBHDNS,HDG,1734,HUYỆN NAM SÁCH
ANTY,HCM,7330,HUYỆN CỦ CHI
HAB,BLU,9632,HUYỆN HÒA BÌNH
CH0066,TNN,,
OSHDG,HDG,1710,THÀNH PHỐ HẢI DƯƠNG
CH0173,PHO,,
TNCG,HNI,1280,QUẬN BẮC TỪ LIÊM
CH0381,HUE,,
CTC,HUG,9125,HUYỆN CHÂU THÀNH A
GRG,KGG,9238,HUYỆN GIỒNG RIỀNG
CH0564,BPC,8310,THÀNH PHỐ ĐỒNG XOÀI
PUCN,BNH,2221,THỊ XÃ TỪ SƠN
QNHTHD,QNH,2010,THÀNH PHỐ HẠ LONG
HBHYMH,HYN,1632,THỊ XÃ MỸ HÀO
HBLSBS,LSN,2450,HUYỆN BẮC SƠN
CH0797,HNI,1571,HUYỆN ỨNG HÒA
HUBTCH,HNI,1200,QUẬN THANH XUÂN
TXB,HNI,1200,QUẬN THANH XUÂN
OSTNH,TNH,,
TTSGN,LOG,7360,QUẬN TÂN BÌNH
HON3,DNI,8164,HUYỆN TRẢNG BOM
HBKGGQ,KGG,9235,HUYỆN GÒ QUAO
DHD,LAN,8537,HUYỆN ĐỨC HÒA
HUBTPU,HCM,7600,QUẬN TÂN PHÚ
CH0116,HCM,,
HNI018,HNI,1100,QUẬN HOÀN KIẾM
HKM,HNI,1100,QUẬN HOÀN KIẾM
HBHCQ6,HCM,7460,QUẬN 6
CH0706,DTP,,
CH0472,BTN,,
CH0646,VTU,7951,THÀNH PHỐ BÀ RỊA
CH0723,KGG,9246,HUYỆN U MINH THƯỢNG
BHC,HCM,7200,QUẬN THỦ ĐỨC
HBNDXT,NDH,4271,HUYỆN XUÂN TRƯỜNG
HBTVCL,TVH,9417,HUYỆN CÀNG LONG
HBBDLT,BDG,8239,THÀNH PHỐ THUẬN AN
KTBPC,BPC,8310,THÀNH PHỐ ĐỒNG XOÀI
12014,HNI,,
TTITPG,HNI,1585,HUYỆN THƯỜNG TÍN
QDN,HUE,5346,HUYỆN QUẢNG ĐIỀN
CH0414,QNI,5738,HUYỆN MỘ ĐỨC
OSCBG,CBG,2710,THÀNH PHỐ CAO BẰNG
KTHUE,HUE,5310,THÀNH PHỐ HUẾ
HBBTTG,BTN,8023,HUYỆN TUY PHONG
VUU,TBH,4149,HUYỆN VŨ THƯ
VXU,BTN,8037,HUYỆN ĐỨC LINH
HBHTHS,HTH,4856,HUYỆN HƯƠNG SƠN
BCT,BDG,8231,THỊ XÃ BẾN CÁT
CHQTG,HCM,7270,QUẬN GÒ VẤP
HNI013,HNI,1340,HUYỆN THANH TRÌ
CH0053,LSN,,
KTHYN,HYN,1629,HUYỆN YÊN MỸ
CH0494,GLI,6030,HUYỆN CHƯ PĂH
CH0558,BDG,,
CH0519,KHA,,
PLU,LCI,3341,HUYỆN BẢO THẮNG
HUG,HUG,9110,THÀNH PHỐ VỊ THANH
PSN,KHA,6510,THÀNH PHỐ NHA TRANG
HBBTDL,BTN,8037,HUYỆN ĐỨC LINH
HBTNAP,TNH,,
CH0102,HCM,7220,QUẬN 3
11412,HNI,,
CH0566,BPC,8325,HUYỆN LỘC NINH
CH0430,QNM,5647,HUYỆN ĐẠI LỘC
HUG01,HUG,9110,THÀNH PHỐ VỊ THANH
CH0480,DLK,6334,HUYỆN EA KAR
NUL,HPG,1830,HUYỆN THỦY NGUYÊN
CHCVI,NDH,4246,HUYỆN NAM TRỰC
CHVTPM,VTU,7956,THỊ XÃ PHÚ MỸ
HBBDPM,BDH,5928,HUYỆN PHÙ MỸ
CH0115,HCM,7430,QUẬN 11
11514,HNI,,
KMT,LCI,3316,HUYỆN SI MA CAI
LOGMB,LOG,,
CH0190,VPC,2834,THÀNH PHỐ PHÚC YÊN
CH0281,TBH,,
D00145,TNH,,
HBDNST,DNG,5533,QUẬN SƠN TRÀ
HBO,QNH,2072,HUYỆN HOÀNH BỒ
HBGLAP,GLI,6053,THỊ XÃ AYUN PA
HUBTHD,HNI,1100,QUẬN HOÀN KIẾM
11707,HNI,,
SHCH,LOG,,
CH0507,GLI,,
DBNDBN,DBN,3814,HUYỆN ĐIỆN BIÊN
DDG,LSN,2418,HUYỆN CAO LỘC
HABH,KTM,5810,THÀNH PHỐ KON TUM
HBKGCT,KGG,9230,HUYỆN CHÂU THÀNH
CH0289,HTH,,
CH0317,NAN,,
CH0400,KTM,5838,HUYỆN IA H'DRAI
CH0022,CBG,,
HBBPBP,BPC,8336,HUYỆN BÙ ĐỐP
CHBLDH,BLU,9629,HUYỆN ĐÔNG HẢI
HBNAQC,NAN,4697,HUYỆN QUỲ CHÂU
HBHDQT,HDG,,
OSBDG,BDG,,
BTH,HCM,7170,QUẬN BÌNH THẠNH
BVI,HNI,1547,HUYỆN BA VÌ
THPC,HCM,7360,Tân Bình
HBBGTY,BGG,2353,HUYỆN TÂN YÊN
HBHTKH,HTH,4884,HUYỆN KỲ ANH
HGCN,PHO,2982,HUYỆN THANH SƠN
HBBTPQ,BTN,8044,HUYỆN PHÚ QUÍ
TUS,BNH,2221,THỊ XÃ TỪ SƠN
KTTNH,TNH,8433,THỊ XÃ TRẢNG BÀNG
SGD,CMU,9723,HUYỆN TRẦN VĂN THỜI
HUBTXB,HNI,1200,QUẬN THANH XUÂN
CH0662,AGG,,
CHVLTB,VLG,8917,HUYỆN TAM BÌNH
LTH,DNI,8153,HUYỆN LONG THÀNH
CH0804,HNI,1240,QUẬN TÂY HỒ
CH0591,DNI,8146,HUYỆN TÂN PHÚ
HBHGXM,HGG,3144,HUYỆN XÍN MẦN
VVTU,LOG,,
BTL,HNI,1280,QUẬN BẮC TỪ LIÊM
KNH,KGG,9241,HUYỆN KIÊN HẢI
TGN,HCM,7360,QUẬN TÂN BÌNH
CLO,QTI,5223,HUYỆN CAM LỘ
CH0200,YBN,,
CH0451,BDH,,
TTQN1,HCM,7100,QUẬN 1
CH0556,BDG,,
CH0153,LCI,,
CHGMY,HCM,7620,QUẬN BÌNH TÂN
HBDLBD,DLK,6360,HUYỆN BUÔN ĐÔN
TVN,HNI,1260,QUẬN NAM TỪ LIÊM
CMPO,QNM,5638,Thành phố Hội An
CH0215,HDG,1742,THÀNH PHỐ CHÍ LINH
CH0505,GLI,6010,THÀNH PHỐ PLEIKU
11613,HNI,,
HBNTNH,NTN,6626,HUYỆN NINH HẢI
CH0647,VTU,,
CH0356,THA,4437,HUYỆN NGA SƠN
KVMB13,FFM,,
90506,AGG,,
HBLCTN,LCU,3929,HUYỆN THAN UYÊN
HBHYYM,HYN,1629,HUYỆN YÊN MỸ
HNI030,HNI,1120,QUẬN HAI BÀ TRƯNG
XAL,HNI,1510,QUẬN HÀ ĐÔNG
PDTU,CNTCT,,
CH0753,STG,9530,HUYỆN MỸ XUYÊN
CH0389,HUE,,
